,Metropolitan Statistical Area,All Violent,Murder,Rape,Robbery,Assault,All Property,Burglary,Larceny,Car Theft
111,"Flint, MI M.S.A.",0.5914561407021947,0.9275440247345066,0.46908576320341,0.6464661794578446,0.572610503501238,0.326005893714014,0.5421838571236755,0.23956740825566192,0.39970060085085213
112,"Florence, SC M.S.A.",0.49311851150442954,0.6990186853071644,0.2646796764443822,0.4430409302108389,0.5290712404538302,0.42651877734879745,0.4542970817138782,0.419093592356827,0.3576916708744016
113,"Fond du Lac, WI M.S.A.",0.12465635468487611,0.06721333512568888,0.2699208581561521,0.03764972331831239,0.1378565908224769,0.15415158796561804,0.13125573974600432,0.167665404483095,0.08046010041092126
114,"Fort Collins-Loveland, CO M.S.A.",0.17064260601154008,0.0,0.3301944478415064,0.0811366130425647,0.1841636309829228,0.22807502486073458,0.1364614515247709,0.2651577076888616,0.15517305079249102
115,"Fort Smith, AR-OK M.S.A.",0.29966157551900796,0.3159026750907377,0.3625150683974211,0.1488477433514676,0.34256564422141367,0.26641617586279503,0.28125204189556835,0.26635268441351173,0.1839088009392486
116,"Fort Wayne, IN M.S.A.2",0.15097508017198707,0.40328001075413333,0.25070319187966233,0.23728081440145715,0.10134322352355059,0.23780179287324993,0.22542527075086463,0.2499535357454404,0.13026873399863442
117,"Fresno, CA M.S.A.",0.38398162266385527,0.45705067885468437,0.1703384056325232,0.43078288075836507,0.3864242661664796,0.3759218986509677,0.35183431332353454,0.31956728621548575,1.0365395588651845
118,"Gadsden, AL M.S.A.",0.3288410320373266,0.4503293453421155,0.36775625010919105,0.3236708772093678,0.3195718035900198,0.34550364232091973,0.32024102804550286,0.35888710546381486,0.26300053229556236
119,"Gainesville, FL M.S.A.",0.4458449312137221,0.3293453421158755,0.4376386729327903,0.3347614933806536,0.4829771062251565,0.3161199604067484,0.32440559746851616,0.3149272170187059,0.2654635965938559
120,"Gainesville, GA M.S.A.",0.1247278729606563,0.14114800376394665,0.1685913450619332,0.1360059772583998,0.11337240866867791,0.21361751058758682,0.21149550406009612,0.21161258040985664,0.22181262375187646
121,"Glens Falls, NY M.S.A.",0.10463123746642211,0.0,0.23235905588846756,0.03210441523266948,0.1158208268840578,0.13688215348521582,0.11632073216002571,0.1511264181132029,0.04816659072218416
122,"Goldsboro, NC M.S.A.",0.37225262543590365,0.4704933458798221,0.05328534740299443,0.39196572415886477,0.3970695627550879,0.398938968775129,0.6015648728621575,0.33173316627389215,0.3099355908685998
123,"Grand Forks, ND-MN M.S.A.3",0.0,0.06721333512568888,0.0,0.026267248826729577,0.12699838830209648,0.19419934462805616,0.15049892259716904,0.21226091884557108,0.14682599955938525
124,"Grand Junction, CO M.S.A.",0.19009557702375254,0.13442667025137775,0.4332710215063154,0.08930864601088057,0.19534119240096146,0.2280219697624845,0.16202329143154198,0.25412324176336865,0.17583542351706433
125,"Grand Rapids-Wyoming, MI M.S.A.",0.27870672071541147,0.14786933727651555,0.4079386432327607,0.2676340797123447,0.26528079098811763,0.22219475147135034,0.2710201256407513,0.20709963639655016,0.1762459342334466
126,"Great Falls, MT M.S.A.",0.1397467108744968,0.3226240086033066,0.06289418054123933,0.0808447547222677,0.1656408149187444,0.31930326630175343,0.14723188968773626,0.38469351770891935,0.23932774765085255
127,"Greeley, CO M.S.A.",0.1893803942659506,0.08065600215082665,0.23934729817082745,0.08784935440939559,0.21950601565710218,0.194721053094182,0.15746380594255333,0.20732846172680236,0.1814457366409551
128,"Green Bay, WI M.S.A.2",0.11242672952646313,0.06721333512568888,0.2673002673002672,0.07121343015246685,0.10773040147671552,0.16239281322713103,0.13394834928674565,0.17805153197287346,0.08593357662935128
129,"Greensboro-High Point, NC M.S.A.",0.27448714244438005,0.2890173410404622,0.14587955764426344,0.40072147376777456,0.23994498510723003,0.3549297647766846,0.43106883674241625,0.3311865279849564,0.2846207633583609
